Accession Number,Title,Subject,Description,Period,Creator,Place of Origin,Condition,Notes,Location,Contributor/  Donor,Filenames
1981.04.015,Burnt orange straw boater with grosgrain hatband,Costume; Headgear; Hats,Burnt orange straw boater with draped burnt orange grosgrain hatband. With chignon strap. ,1960-1969,Unknown,,Poor condition. Straw is broken in areas.Uneven discolouration .,,KHW66H,Karen Mulhallen,
1981.04.016,Green goosefeather hat,Costume; Headgear; Hats,Green goosefeather hat. ,1950-1959,Unknown,,Good condition. ,,KHW66H,Karen Mulhallen,
1981.05.002_A+B,Castelbajac cream Wool Caftan Dress,Costume; Garments; Dress,"A. Cream wool unisex caftan with hood, raglan sleeves. B. self belt.",1973-1975,Castelbajec,,Fair condition. Visibly dirty,Unisex styling. ,KHW66C,Linda Lewis,
1981.05.003_A+B,Castelbajac ultramarine Wool Caftan Dress,Costume; Garments; Dress,A. Unisex ultramarine wool caftan dress with hood. B. self-tie belt. ,1973-1975,Castelbajec,,Good condition.,Unisex styling. ,KHW66C,Linda Lewis,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.05.003_A+B_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.05.003_A+B_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.05.003_A+B_Det_6_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.05.003_A+B_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.05.003_A+B_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.05.003_A+B_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.05.003_A+B_Det_7_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.05.003_A+B_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.05.003_A+B_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.05.003_A+B_FRT_Web.jpg"
1981.05.004,Marimekko black and white polka dot cotton tunic dress,Costume; Garments; Dress,Black and white polka dot cotton tunic dress with front zipper and circular pockets.,1970-1979,Marimekko,,"Good condition, but faded.",Underarm gussets. Decorative top-stitching,KHW66C,Linda Lewis,
1981.05.014,"Anne Klein brown, gray and cream tweed A-line skirt ",Costume; Garments; Skirts,"Brown, gray and cream tweed A-line skirt with loops at waist. Lined in gray silk.",1970-1979,Anne Klein,,Good condition. A bit tired.,,KHW66C,Linda Lewis,
1981.05.019A+B,Yves Saint Laurent purple stacked heel leather pumps with ankle strap,Costume; Garments; Footwear,Purple stacked heel leather pumps with ankle strap. Orange cutwork butterfly on toe cap.,1970-1979,Yves Saint Laurent,,Poor condition. Heavily worn.,,KHW66H,Linda Lewis,
1981.06.004,Linen corset cover. ,Costume; Garments; Underwear,Linen corset cover. ,1890-1900,Unknown,,Poor condition. Heavily stained. ,Garment appears to have been cut at bottom edge.,Box 210,Instructors of Ryerson Fashion Department,
1981.06.007,Unbleached cotton corset cover. ,Costume; Garments; Underwear,Unbleached cotton corset cover. Machine stitched. Metal hook and eye front closures. ,1880-1910,Unknown,,Poor condition. Heavily stained. ,"Textile appears aged, but closures appear to be contemporary. Overcast stitching on armholes also suggest more contemporary finishing.",Box 210,Instructors of Ryerson Fashion Department,
1981.06.011_A+B,Black satin slippers with pink satin lining,Costume; Garments; Footwear,Black satin slippers with pink satin lining. Black satin decorative piping and flower on vamp.,Not dated,Unknown,,Good condition.,,KHW66H,Instructors of Ryerson Fashion Department,
1981.06.012,Black cotton garter belt,Costume; Garments; Underwear,Black cotton garter belt with red machine embroidery in floral pattern. Metal garters on black elastic.,1950-1960,Best Form,Canada,Very good condition.,"Label reads: ""Best Form Made in Canada, Style 6450, Size XL""",KHW66H,Instructors of Ryerson Fashion Department,
1981.06.013,Dominion Needle Case,Sewing; Equipment; Needle; Cases,Blue leather needle case with image of sailing ship on ocean in heart shape with maple leafs surround. ,1900-1910,Dominion ,England,Good condition.,"Needle case includes sharps, straw embroidery rug, chenille, double long darning, pack year. ",KHW66H,Instructors of Ryerson Fashion Department,"/home/pchurch/Programming/fashion/Marinas Images/FRC_AccOther_1981.06.013_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_AccOther_1981.06.013_INS_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_AccOther_1981.06.013_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_AccOther_1981.06.013_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_AccOther_1981.06.013_INS_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_AccOther_1981.06.013_INS_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_AccOther_1981.06.013_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_AccOther_1981.06.013_Det_4_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_AccOther_1981.06.013_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_AccOther_1981.06.013_INS_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_AccOther_1981.06.013_INS_4_Web.jpg"
1981.06.041,Ivory straw womenswear fedora-style hat,Costume; Headgear; Hats,Ivory straw womenswear fedora-style hat with 7.5cm ivory grosgrain ribbon tied around base of crown. ,1960-1969,Unknown,,Poor condition. Grosgrain ribbon is heavily stained.,"Ivory straw is treated, has an iridescent quality. ",KHW66H,Instructors of Ryerson Fashion Department,
1981.07.001,Black cocktail dress with cream cord embroidery,Costume; Garments; Dress,"Black lace and net dress with long sleeves, cream cord embroidery on black net with black silk ribbon decorative insets, extended back panel.",1920-1929,Unknown,,Fair condition. Small rip on underarm on R side.,,KHW66B,Kathy Cleaver,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.07.001_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.07.001_Det_7_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.07.001_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.07.001_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.07.001_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.07.001_Det_9_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.07.001_Det_11_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.07.001_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.07.001_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Dresses_1981.07.001_F34_Web.jpg"
1981.07.003,Pale green floor length evening dress with floral beading,Costume; Garments; Dress,Pale green floor length evening dress with bow neckline and floral beading on sleeves and bodice,1937-1940,Unknown,,Fair condition. Small stains and hem is dirty.,Beading is very delicate and pretty.,Box 514,Kathy Cleaver,
1982.01.021,Black velvet jacket with braid and fur trim,Costume; Garments; Jackets,"Black velvet jacket with orange, gold and black braid and rabbit fur trim. Front snap closures. Inside is lined in cotton and there are 4 boning channels.",1890s + later remake,Unknown,,Good condition.,Dating is uncertain. Has some features consistent with 1890-1900 period. Braid and fur trim appear to be later additions to make jacket bigger since handmade buttonholes exist on jacket left.,KHW66B,Karen Mulhallen,
1982.01.022,Muslin Sou'wester hat,Costume; Headgear; Hats,Muslin Sou'wester hat. No lining. ,1970-1979,Creasers Clippers ,"La Have, Nova Scotia, Canada",Good condition.,,KHW66H,Karen Mulhallen,
1982.02.001,Champagne coloured corded silk evening bodice with scoop neckline and cap sleeves,Costume; Garments; Bodices,Champagne coloured corded silk evening bodice with scoop neckline and cap sleeves. Matching machine lace overlay and beading at neckline. Back closing with hooks and eyes. Heavily boned. Inner Petersham belt and hooks to attach matching skirt (missing). Lined in cotton.,1890-1900,Unknown,,Fair condition. Structure of bodice is intact but lace overlay is ripped and detaching. Separate lace piece in box. Some stains.,Was once a matching skirt (missing).,Box 106,Dorothy Dennison,
1982.04.004,Creeds orange knit dress with burgundy and gray polka dots,Costume; Garments; Dress,"Orange knit dress with burgundy and gray polka dots, collar and long sleeves.",1970-1975,Creeds,,Good condition.,,KHW66C Rack #3,Karen Mulhallen,
1982.04.007,Enzo Russo Roma rust orange and cream striped silk shirtdress,Costume; Garments; Dress,Rust orange and cream striped silk shirtdress.,1970-1980,Enzo Russo Roma,,Good condition.,,KHW66C,Karen Mulhallen,
1982.04.048A+B,Charles Jourdan Paris beige satin Pumps ,Costume; Accessories; Footwear,Beige Satin Pumps with 2 inch heel. ,1970-1980,Charles Jourdan Paris,,Good condition. Minor signs of wear.,Retailer label Davids.,KHW66H,Karen Mulhallen,
1982.04.049,Black Persian lamb muff with side loop and zippered pocket,Costume; Accessories; Handwear,Black Persian lamb muff with side loop and zippered pocket.,1930-1940,Unknown,,Good condition.,,KHW64B Bin #5,Karen Mulhallen,
1982.05.001,David Rea champagne-coloured chiffon evening dress,Costume; Garments; Dress,Champagne-coloured chiffon sleeveless Empire waist floor length evening dress with cream lace yoke with gold ribbon embroidery in floral pattern. ,c.1966,David E. Rea ,,Very good condition.,"Label reads: ""David E. Rea Dresses Limited""",KHW66C,Patrica Izard,
1982.06.001,Henry Morgan silver leather pumps with ankle strap ,Costume; Accessories; Footwear,Silver leather pumps with ankle strap and front vamp cut-outs. ,1950-1960,Henry Morgan Co. Limited,,Good condition.,"Label reads: ""Made expressly for Henry Morgan Co. Limited""",KHW66H,Carol Taylor,
1982.07.001,"Blue velvet ribbed bias cut evening gown with V-neck, shirred front",Costume; Garments; Dress,"Blue velvet ribbed bias cut evening dress with V-neck, shirred front, long sleeves and bow at centre back neck edge. Blue plastic buttons at sleeve cuffs. ",1932-1935,Unknown,,Poor condition. Fabric is rotting under arms. Some buttons missing at sleeves.,,Box 513,Anonymous,
1982.07.006,Cream lace boned corset,Costume; Garments; Underwear,"Cream lace boned corset with loops for garter attachments, hook and eye closure in back, elasticized  back.",1950-1960,Lovable,Canada,Near Perfect condition.,Mid-century corset with made in Canada label. Size 28.,Box 306,Anonymous,
1983.01.001,Pink silk teddy with cream bands of lace,Costume; Garments; Underwear,Pink silk teddy with cream bands of lace at neckline and leg openings. Buttons at crotch. Pink ribbon shoulder straps.,1930-1939,Unknown,,Good condition.,,Box 210,Nancy Duffy,
1983.02.004,Pink chiffon evening dress ,Costume; Garments; Dress,Fuschia pink chiffon evening dress with halter top and multi-coloured printed floor-length skirt,1930-1939,Unknown,,Good condition.,Very sheer.,Box 514,Karen Mulhallen,
1983.03.001,"Blue and white polka dot cotton work apron, full-length.",Costume; Garments; Aprons,"Blue and white polka dot cotton work apron, full-length.",1900-1910,Unknown,,Fair condition. Faded.,Items belonged to Mary Roddick Cook who came to Canada from Scotland in 1835 and lived on farm. ,Box 303,Lois Tepoorten,
1983.03.002,Black crepe  bonnet,Costume; Headgear; Hats,Black crepe womenswear bonnet with flower detail at front of crown and black crepe ribbons. ,1870-1890,Unknown,,"Poor condition. Requires careful handling. Chin sash is fraying, flowers are falling apart, lining is detaching. ",Items belonged to Mary Roddick Cook who came to Canada from Scotland in 1835 and lived on farm. ,KHW66H,Lois Tepoorten,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1983.03.002_Det_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1983.03.002_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1983.03.002_Det_11_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1983.03.002_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1983.03.002_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Hats_1983.03.002_TOP_Web.jpg"
1983.03.003,Black net and black silk shawl ,Costume; Accessories; Shawls,Black net and black silk shawl with floral applique overstitched with cord. Entirely handsewn,1850-1880,Unknown,,Fair condition. Some holes in net and some fraying. Use caution in handling.,Items belonged to Mary Roddick Cook who came to Canada from Scotland in 1835 and lived on farm. Very delicate piece.,Box 301,Lois Tepoorten,
1983.03.004,White night cap with crocheted lace trim,Costume; Headgear; Hats,White night cap with crocheted lace trim.,1870-1890,Unknown,,Fair condition. Stained,Lace is becoming limp in unsupported areas.,KHW66H,Lois Tepoorten,
1983.04.001_A+B,Black lace evening dress with sweetheart neckline ,Costume; Garments; Dress,A. Black lace evening dress with sweetheart neckline and short puffed sleeves. Side metal zipper. B. Black silk underslip.,1930-1939,Unknown,,Good condition. Minor signs of wear.,,Box 514,Linda Lewis,
1983.04.003,White cotton eyelet camisole,Costume; Garments; Underwear,White cotton eyelet camisole. Half inch channel at waist for insertion of ribbon. No other closures.,Not dated,Unknown,,Good condition.,Missing ribbon for closure. ,Box 210,Linda Lewis,
1983.04.004_A+B,Sonia Rykiel pale green silk tunic top and matching pants,Costume; Garments; Blouse; Trousers,A. Pale green silk womenswear tunic top B. Matching trousers with ankle ties.,1970-1979,Sonia Rykiel,,Good condition.,Atypical design for the label. Fabric is 68% acetate and 32% silk.,KHW66C,Linda Lewis,
1983.04.012,Rust coloured satin evening dress with short sleeves,Costume; Garments; Dress,Rust coloured satin evening dress with short sleeves. Bodice is partially smocked and finished with ruffle. Closes on side with snaps.,1935-1939,Unknown,,Good condition.,Matching belt or tie is missing. One of remaining loops at bustline is torn. ,KHW66B,Linda Lewis,
1983.05.032A+B,Wooden mules with navy canvas straps,Costume; Accessories; Footwear,4-inch high wooden mules with navy canvas straps.,1980-1989,Unknown,,Good condition.,,KHW66H,Karen Mulhallen,
1983.05.044C,Rust brown satin garter belt,Costume; Garments; Underwear,Rust brown satin garter belt with brown lace ruffle. Brown elastic garters with metal fasteners.,1975-1982,Unknown,England,Near Perfect condition.,"Label reads: ""Hand wash only. Made in England. 100% actetate satin"". Matching bra (A) and panties (C) are missing. ",Box 306,Karen Mulhallen (Anonymous),
1983.06.003_A+B,Jack Liebman blue-green capsleeve dress and matching bolero jacket,Costume; Garments; Dress; Jackets,"A. Pale blue-green peau de soie capsleeve dress with Empire waist, V-neck and bow at centre front. B. Matching bolero jacket with shawl collar. Label reads: ""Jack Liebman Original Fashion Preferred""",1950-1960,Jack Liebman ,,Good condition.,Lining of jacket is rose pink silk. ,KHW64B Rack #? (1950s),Bee Lewis,
1983.06.004_A+B,Peggy Paige Frocks gray crepe dress and jacket,Costume; Garments; Dress; Jackets,"Two-piece dress and jacket ensemble. Gray, blue and burgundy short sleeve dress with waist inset to back tie gathered at bustline, back pleats at hem. Matching waist length open jacket with shawl collar and short sleeves. ",1940-1950,Peggy Paige Frocks Montreal,"Montreal, Canada",Fair condition. Visible stains underarms. Small tear on sash.,,KHW66B,Bee Lewis,"/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.06.004_A+B_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.06.004_A+B_RGT_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.06.004_A+B_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.06.004_A+B_INS_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.06.004_A+B_B34_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.06.004_A+B_Det_15_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.06.004_A+B_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.06.004_A+B_BCK_2pc_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.06.004_A+B_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.06.004_A+B_LBL_1_Web.jpg"
1983.06.007,Silver gray brocade  sleeveless dress with spagetti strap,Costume; Garments; Dress,Silver gray brocade sleeveless cocktail dress with spagetti straps. Brocade is a woven gold floral pattern. Extended bow at back forms bustle-like panel. Shoulder bow. Lined in cream silk with net underlay.,1956-1964,Rappi,,Good condition.,Beautiful textile. ,KHW64B ,Bee Lewis,
1983.07.006,Saks Fifth Avenue navy blue sateen coatdress ,Costume; Garments; Dress,"Navy blue sateen coatdress with deep shawl collar, gathered waist, curved bodice piece forms upper part of sleeve with decorative top-stitching, 6 metal buttons, Lined in rose pink silk satin",1950-1960,Debutante Saks Fifth Avenue shop,USA,Fair-good condition. Dirt on collar from wear. Buttons are coming loose. Some dirt stains on R bodice. ,Beautiful finishing detail. Unusual cut of bodice to form sleeve. Cloche hat found in pocket (Agnes Paris) in 2014. ,KHW66C,Jennifer Welsh,"/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_INS_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_RGT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_Det_9_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_Det_3_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_Det_8_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_INS_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_INS_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_Det_2_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_B34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_Det_10_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_Det_5_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_Det_6_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_Det_4_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_Coats_1983.07.006_Det_7_Web.jpg"
1983.07.006B,Agnés Paris black plush cloche,Costume; Headgear; Hats,Black plush cloche with grosgrain ribbon inside brim. ,1919-1929,Reproduction Agnés Paris ,,Good condition. A little crushed.,Hat was found inside pocket of coat-dress 1983.07.006A,KHW66H,Jennifer Welsh,
1983.07.009,White cotton bib apron with neckties and buttoned skir,Costume; Garments; Aprons,White cotton bib apron with neckties and buttoned skirt. Funnel pockets.,c.1900,Unknown,,Fair condition. Apron is  stained and yellowed.,"""R58"" stamped on inner band",Box 308,Jennifer Welsh,
1983.07.011_A+B,Holt Renfrew gray wool womenswear suit,Costume; Garments; Jackets; Skirts,Gray wool womenswear suit. A. Jacket has Peter Pan collar and vertical seam pockets with flaps. B. Below knee length skirt. ,1940-1947,Holt Renfrew,,Good condition. Some underarm stains.,Jacket has shoulder pads and late 1940s styling.,KHW66C,Jennifer Welsh,
1983.08.003_A+B,The Room black and cream wool dress,Costume; Garments; Dress; Jacket,Black and cream wool dress with short sleeves. B. Matching black cropped jacket with flap pockets and cream coloured buttons. ,1960-1965,The Room,,Very Good condtition.,Interesting button detail at waist. ,KHW66C Rack #3,Isobel Coulthard,
1983.08.006_A+B,Maggy Reeves charcoal gray wool dress with matching top ,Costume; Garments; Dress; Jackets,"A. Charcoal gray wool dress. B. Matching top has 3/4 sleeves and back zipper closure, popcorn trim on tulip collar.",1960-1965,Maggy Reeves,,Very good condition.,Classic 1960s styling.,KHW66C,Isobel Coulthard,
1983.08.007_A+B,Geoffrey Beene Boutique sleeveless summer dress and matching wrap,Costume; Garments; Dress; Shawls,A. Black and white patterned textured cotton sleeveless summer dress with back zipper and self-fabric buttons. B. Matching wrap with ruffle.,1970-1980,Geoffrey Beene Boutique,,Very Good condition.,Dress has concealed side pockets. Charming summer evening ensemble.,KHW66C,Isobel Coulthard,
1983.08.010,Pierre Cardin Paris cream and navy wool sleeveless dress,Costume; Garments; Dress; ,Cream and navy wool sleeveless dress with back zipper. Deep scoop  to neckline.,1968-1971,Pierre Cardin Paris,,Good condition.,Likely was once a matching jacket,KHW66C Rack #2,Isobel Coulthard,
1983.08.013,Diane von Furstenburg multi-coloured shirtdress ,Costume; Garments; Dress; ,"Cream, green, red, and black cotton/rayon front button shirtdress with long sleeves and cuffs. Self tie belt. Buttons are concealed. ",1975-1982,Diane von Furstenburg,Italy,Good condition.,Made in Italy label.,KHW66C,Isobel Coulthard,
1983.08.014,Diane von Furstenburg black and cream print  shirtdress,Costume; Garments; Dress; ,Black and cream print cotton/rayon front button shirtdress with long sleeves.,1975-1982,Diane von Furstenburg,,Fair condition. Collar has yellowed.,,KHW66C,Isobel Coulthard,
1983.08.015_A+B+C,Diane von Furstenburg green and white jersey top and matching skirt ,Costume; Garments; Dress,"Green and white jersey knit top and skirt. A. Top has long sleeves, gathered neckline and cuffs. B. Skirt has elastic waist. C. Belt.",1975-1982,Diane von Furstenburg,,"Good condition,  some fading of textile.",,KHW66C,Isobel Coulthard,"/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.08.015_A+B+C_BCK_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.08.015_A+B+C_LBL_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.08.015_A+B+C_F34_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.08.015_A+B+C_Det_1_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.08.015_A+B+C_FRT_Web.jpg,/home/pchurch/Programming/fashion/Marinas Images/FRC_2pcEnsembles_1983.08.015_A+B+C_Det_2_Web.jpg"
1983.08.019,Ceil Chapman black beaded cocktail dress with short sleeves,Costume; Garments; Dress; ,"Black beaded cocktail dress with short sleeves, back zipper, side slits.",1966-1969,Ceil Chapman,,Good condition.,Dress is heavy from weight of beads.,KHW66C,Isobel Coulthard,
1983.08.028A+B,Pierre Cardin Paris mustard yellow wool coat with stand collar,Costume; Garments; Coats,"Mustard yellow wool coat with stand collar, inset yoke and shoulder detail, gold buttons, decorative patch pockets, lined in mustard silk. Label reads: ""exclusively designed by Pierre Cardin Paris""",1965-1970,Pierre Cardin Paris,,Good condition. Some visible stains.,"Very unusual construction, especially at shoulders and pockets.",KHW66C Rack #1,Isobel Coulthard,
1983.08.030_A+B,Nina Ricci gray loden wool box cut jacket and skirt,Costume; Garments; Jackets; Skirts,"A. Gray loden wool box cut jacket with 3/4 sleeves. B. Matching A-line skirt with back zipper. Label reads: ""Nina Ricci, Simpsons St. Regis Room""",1960-1970,Nina Ricci,,Good condition. Some small pulls in fabric. Small tear in jacket lining.,"Conservative styling. Similar to Dior jacket 2013.99.007, esp. choice of butttons.",KHW66C,Isobel Coulthard,
1983.08.031,Teal Trainia New York lime green linen sleeveless chemise dress,Costume; Garments; Dress; ,Lime green linen sleeveless chemise dress with asymmetrical darts and back zipper.,1960-1970,Teal Trainia New York,,Good condition.,,KHW66C,Isobel Coulthard,
